batch	timestamp/colllection_interval	acc_x 	acc_y	acc_z	rot_x	rot_y 	rot_z	lat	long	GPS_speed_kmph	GPS_speed_mps	GPS_altitude_km	GPS_altitude_m	GPS_data_time	GPS_hdop_acc	GPS_n_of_satellite	anomaly	speed_level_on_encounter
71	1483	-0.55	-0.43	12.67	0.03	-0.06	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1488	-0.3	-0.62	12.14	0.06	-0.01	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1493	-0.39	0.04	11.8	0.11	-0.03	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1497	-0.43	0.27	11	0.07	-0.08	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1501	-0.68	0.07	10.86	0.07	-0.08	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:-0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1506	-1.24	-0.16	10.77	0.07	-0.03	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1511	-1.21	-0.22	10.69	0.06	-0.07	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1515	-0.32	-0.01	9.99	0.06	-0.06	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1519	0.1	0.2	9.98	0.04	-0.06	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1523	0.17	0.45	10.25	0.03	-0.14	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1528	0.4	0.45	10.33	-0.01	-0.1	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1533	-1.07	-0.11	12.23	-0.03	-0.07	0.04	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1537	-1.15	0.15	12.83	0	-0.11	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1541	-0.61	-0.09	11.93	-0.02	-0.08	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1546	-0.71	0	11.79	0.02	-0.08	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1551	-0.16	0.87	10.98	0.04	-0.12	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1555	-0.47	0.53	10.32	0	-0.1	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1559	-0.6	0.61	10.36	0.01	-0.1	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1563	-0.12	0.83	9.83	-0.01	-0.1	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1567	-0.55	0.72	9.68	-0.04	-0.05	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1571	-1.18	0.84	10.09	-0.04	-0.08	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1575	-0.57	0.67	9.89	-0.06	-0.1	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1579	-0.18	0.22	10.3	-0.07	-0.13	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1583	-0.25	0.58	10.87	-0.05	-0.12	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1587	-0.61	0.52	10.92	-0.05	-0.1	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1591	-0.28	0.54	10.51	-0.06	-0.14	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1595	0.56	0.56	10.17	-0.08	-0.16	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1599	0.35	0.69	10.39	-0.07	-0.11	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1603	-0.26	1.2	10.14	-0.09	-0.12	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1607	-0.4	1.17	9.92	-0.1	-0.1	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1611	-0.7	0.64	9.48	-0.12	-0.09	0.05	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1615	-0.44	0.82	8.98	-0.09	-0.12	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1619	0.1	1.08	8.71	-0.07	-0.12	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1623	-0.04	1.07	8.1	-0.08	-0.11	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1627	0.2	1.22	7.63	-0.1	-0.1	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1631	0.62	0.91	7.9	-0.11	-0.08	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1635	0.15	0.73	8.31	-0.15	-0.18	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1639	0.26	0.88	9.22	-0.12	-0.06	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1643	0.57	0.33	8.16	-0.2	-0.14	0.06	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1647	-0.21	0.5	9.78	-0.17	0.09	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1651	0.76	0	8.87	-0.15	-0.16	0.08	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1655	-1.44	0.36	10.95	-0.15	0	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1659	0.31	0.13	9.04	-0.11	-0.02	0.08	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1663	0.2	0.22	9.21	-0.12	-0.09	0.07	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
71	1667	-0.61	0.38	9.75	-0.09	-0.04	0.08	7.60077	5.221884	35.484322	9.856755	0.4311	431.100006	01/26/2025 15:06:59:0.000000	1.02	8	ROAD-PATCH	AVERAGE
