batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
1,0.03,-0.04,10.58,0.11,0.01,-0.01,0,888,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.65,-0.16,8.74,0.1,0.04,-0.01,0,912,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.18,-0.27,10.96,0.08,0.05,-0.02,0,936,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.25,-0.98,8.97,0.06,0.07,-0.02,0,960,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.57,-1.59,7.47,0.02,0.04,-0.03,0,984,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.77,0.72,9.41,-0.02,-0.14,-0.04,0,1008,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,-0.59,0.95,11.37,0.06,-0.04,-0.03,0,1032,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.11,0.38,8.52,0.22,0.09,0.01,0,1056,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.8,0.77,9.85,0.17,0.03,0,0,1080,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.82,-0.2,8.61,-0.05,-0.01,-0.04,0,1104,0,0,99.989998,07/19/2025 14:42:18:1.770893,smooth,AVERAGE
1,0.22,-0.6,7.97,-0.02,0.03,-0.03,0,1128,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.03,-1.18,8.91,-0.07,-0.06,-0.05,0,1152,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.39,-0.79,9.2,-0.01,0.02,-0.04,0,1176,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,1.45,-0.3,7.55,-0.07,-0.15,-0.05,0,1200,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.83,0.41,9.57,-0.14,-0.21,-0.05,0,1224,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-1.33,0.03,10.4,0.27,0.23,0.04,0,1248,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.91,0.75,8.01,0.1,0.07,0,0,1272,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.06,0.23,11.36,0,-0.05,-0.03,0,1296,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.52,-0.33,11.04,0.06,0,-0.02,0,1320,0,0,99.989998,07/19/2025 14:42:18:0.000000,smooth,AVERAGE
1,0.59,-0.87,7.41,0,0.02,-0.03,0,1344,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,1.37,-0.98,7.98,-0.04,-0.05,-0.04,0,1368,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,-0.83,-0.24,10.89,0.05,0,-0.02,0,1392,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,0.39,-0.23,8.03,0.06,0.01,-0.02,0,1416,0,0,99.989998,07/19/2025 14:42:18:-0.000000,smooth,AVERAGE
1,1.11,0.3,8.95,-0.02,-0.14,-0.03,0,1440,0,0,99.989998,07/19/2025 14:42:18:1.770893,smooth,AVERAGE
1,0.4,0.01,9.41,-0.07,-0.12,-0.03,0,1464,0,0,99.989998,07/19/2025 14:42:18:1.770893,smooth,AVERAGE
