id,batch_id,speed,latitude,longitude,accuracy,timestamp,log_interval,acc_x_corrected,acc_y_corrected,acc_z_corrected,rot_x_corrected,rot_y_corrected,rot_z_corrected,batch,acc_x_global,acc_y_global,acc_z_global
4205,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.368493,63,0.66,-0.54,9.97,0.01,0.02,0.01,inference,0.4570161579019969,-0.3050387812714628,9.99130559903644
4206,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.392029,64,0.68,-0.54,9.99,0.01,0.02,0.01,inference,0.47309300117523045,-0.30181484703939265,10.011952397526949
4207,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.413289,65,0.66,-0.53,10.01,-0.0,0.02,0.01,inference,0.4491102559975072,-0.28782106749279174,10.031553170425067
4208,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.436895,66,0.67,-0.54,9.99,-0.0,0.02,0.01,inference,0.4561094492020182,-0.29455443488680044,10.012282549710488
4209,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.457323,67,0.66,-0.53,9.96,-0.0,0.02,0.01,inference,0.4431995126883248,-0.28172656577277977,9.98209919476313
4210,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.483700,68,0.67,-0.55,9.97,0.01,0.02,0.01,inference,0.44967129433933795,-0.29867698050942243,9.993041968708077
4211,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.505291,69,0.66,-0.55,9.97,0.01,0.02,0.01,inference,0.43628016361162014,-0.2959627624725587,9.993050868582062
4212,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.531085,70,0.68,-0.55,10.01,-0.0,0.02,0.01,inference,0.45186663291427204,-0.29114664862913936,10.033745570575864
4213,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.553695,71,0.65,-0.54,10.02,-0.0,0.02,0.01,inference,0.41812684323296634,-0.2773587833849704,10.04304446113066
4214,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.583502,72,0.65,-0.55,10.0,0.01,0.02,0.01,inference,0.41527939767733896,-0.2850484373803501,10.023536821412478
4215,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.612477,73,0.65,-0.55,9.99,-0.0,0.02,0.01,inference,0.41212742024504123,-0.28149320050235743,10.013791118630001
