id,batch_id,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,latitude,longitude,accuracy,timestamp,log_interval,anomaly
4850,71,0.26,0.88,9.22,-0.12,-0.06,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1639,road-patch
4851,71,0.57,0.33,8.16,-0.2,-0.14,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1643,road-patch
4852,71,-0.21,0.5,9.78,-0.17,0.09,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1647,road-patch
4853,71,0.76,0.0,8.87,-0.15,-0.16,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1651,road-patch
4854,71,-1.44,0.36,10.95,-0.15,0.0,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1655,road-patch
4855,71,0.31,0.13,9.04,-0.11,-0.02,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1659,road-patch
4856,71,0.2,0.22,9.21,-0.12,-0.09,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1663,road-patch
4857,71,-0.61,0.38,9.75,-0.09,-0.04,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1667,road-patch
4858,71,-0.35,0.26,9.91,-0.07,-0.06,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1671,road-patch
4859,71,-0.4,-0.31,8.71,-0.1,-0.19,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1675,road-patch
4860,71,-0.48,-0.19,8.58,-0.08,-0.21,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1679,road-patch
4861,71,-0.06,-0.12,8.71,-0.12,-0.32,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1683,road-patch
4862,71,0.08,-0.28,8.03,-0.14,-0.35,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1687,road-patch
4863,71,0.28,-0.33,7.97,-0.15,-0.34,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1691,road-patch
4864,71,0.4,-0.55,7.31,-0.17,-0.34,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1695,road-patch
4865,71,0.96,-0.34,7.19,-0.1,-0.2,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1699,road-patch
4866,71,0.98,-0.44,7.44,-0.1,-0.17,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1703,road-patch
4867,71,0.89,-0.22,6.85,-0.07,-0.05,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1707,road-patch
4868,71,0.84,-0.02,7.52,-0.09,0.05,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1711,road-patch
4869,71,0.92,-0.67,7.42,-0.1,0.21,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1715,road-patch
4870,71,0.75,-0.61,7.82,-0.06,0.32,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1719,road-patch
4871,71,0.21,-0.32,8.4,-0.02,0.39,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1723,road-patch
4872,71,-0.04,-0.2,8.16,-0.04,0.34,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1727,road-patch
4873,71,-0.17,-0.4,8.21,0.0,0.45,0.09,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1731,road-patch
4874,71,-0.2,-0.44,8.59,-0.01,0.43,0.08,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:1.695733,1735,road-patch
4875,71,-2.6,-0.18,12.13,-0.06,0.37,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:1.695733,1739,road-patch
4876,71,-0.13,-0.36,9.47,-0.02,0.14,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1743,road-patch
4877,71,-0.93,-0.61,9.01,-0.09,-0.03,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1747,road-patch
4878,71,-0.66,-0.36,8.97,-0.04,0.2,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1751,road-patch
4879,71,-0.12,-0.34,8.58,-0.09,0.11,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1755,road-patch
4880,71,-0.23,-0.47,9.86,-0.03,0.28,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:1.695733,1759,road-patch
4881,71,-0.16,-0.74,9.87,-0.07,-0.1,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:1.695733,1763,road-patch
4882,71,-0.9,0.02,11.79,-0.03,0.3,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1767,road-patch
4883,71,1.13,-0.33,9.16,-0.06,0.02,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1771,road-patch
4884,71,-1.93,-0.14,12.29,-0.06,0.11,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1775,road-patch
4885,71,-0.24,-0.21,10.19,-0.03,0.14,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1779,road-patch
